edad,frecuenciaCompra,montoPromedio,diasUltimaCompra,satisfaccion,totalHistorico,cantidadProductos,usaTarjeta,recompra
36,16,191084,5,3.0,3057344,11,1,1
32,19,318353,8,3.6,6048707,1,1,1
42,2,245925,164,1.3,491850,14,0,0
64,7,477182,168,4.9,3340274,10,1,1
35,18,72620,73,4.3,1307160,6,1,1
50,11,309903,122,1.3,3408933,15,0,0
69,1,78447,173,2.3,78447,14,0,0
62,11,379126,69,2.0,4170386,10,0,0
60,4,67885,110,2.9,271540,14,0,0
24,16,215766,123,1.7,3452256,9,1,1
59,3,479730,134,2.5,1439190,11,0,0
37,4,412190,110,2.8,1648760,3,1,0
67,2,15611,10,3.1,31222,7,0,0
22,3,358840,120,2.1,1076520,14,1,0
29,8,121464,126,2.2,971712,11,1,1
66,14,89250,161,1.6,1249500,5,0,0
69,8,15733,8,3.4,125864,5,1,1
20,7,218680,6,2.7,1530760,5,0,1
46,19,279928,116,2.4,5318632,7,1,1
67,17,251464,174,1.4,4274888,12,0,0
65,7,7646,99,2.4,53522,9,1,0
41,2,180992,39,4.4,361984,15,0,0
56,1,459938,49,1.1,459938,10,0,0
30,11,445571,71,1.5,4901281,1,1,1
18,3,350686,90,4.5,1052058,15,0,0
33,12,306780,90,4.6,3681360,14,1,1
53,15,367581,9,3.9,5513715,8,0,1
56,20,243588,74,2.6,4871760,3,0,0
28,3,107214,106,3.3,321642,15,0,0
68,19,311025,142,3.4,5909475,2,0,0
44,15,106446,49,2.4,1596690,10,0,0
67,16,263366,53,1.8,4213856,14,0,0
45,13,450357,105,4.7,5854641,14,0,1
64,17,212947,53,1.8,3620099,8,0,0
62,1,124601,17,4.5,124601,11,0,0
69,19,328148,158,3.8,6234812,13,0,0
29,13,171662,94,1.2,2231606,11,1,1
52,7,482652,164,3.0,3378564,4,1,1
50,18,22394,118,2.8,403092,11,0,0
45,1,98719,151,4.4,98719,6,1,0
55,2,429457,83,1.2,858914,4,0,0
66,2,358829,107,2.3,717658,5,1,0
22,16,465964,172,1.1,7455424,7,1,1
42,19,419315,174,3.0,7966985,8,1,1
59,20,268752,93,1.8,5375040,13,0,0
68,13,486974,57,4.2,6330662,10,1,1
58,20,484838,96,4.1,9696760,14,1,1
32,15,231699,11,3.7,3475485,1,0,1
69,10,128393,118,4.5,1283930,2,1,1
38,12,46472,147,1.2,557664,3,1,1
53,6,194198,21,4.5,1165188,8,1,1
35,1,328064,136,4.5,328064,12,0,0
19,8,424508,180,3.7,3396064,15,0,0
58,5,21958,135,2.7,109790,15,1,0
26,19,201068,92,2.5,3820292,8,1,1
29,9,145966,151,4.6,1313694,11,1,1
48,4,263352,34,4.3,1053408,13,1,1
69,6,222274,97,4.8,1333644,4,1,1
54,9,245390,171,1.5,2208510,10,0,0
38,4,339232,43,1.4,1356928,7,0,0
61,17,413614,110,1.9,7031438,6,0,0
67,3,390981,19,1.1,1172943,12,1,1
44,19,341130,78,2.1,6481470,11,0,0
52,18,398634,118,4.8,7175412,2,1,1
37,8,351198,56,1.8,2809584,2,1,1
30,1,312000,128,4.2,312000,1,1,1
46,3,251004,56,4.5,753012,15,0,0
44,16,383866,5,2.1,6141856,3,1,1
51,2,97182,28,3.2,194364,12,1,0
59,14,445476,11,2.4,6236664,14,1,1
67,14,393071,25,2.4,5502994,10,0,1
51,14,174421,20,4.9,2441894,2,0,1
34,13,14961,158,1.6,194493,3,0,0
37,5,291954,44,4.8,1459770,1,0,0
41,8,303853,172,4.7,2430824,4,0,1
52,17,350616,123,4.7,5960472,8,1,1
55,15,245385,31,1.6,3680775,13,0,0
29,18,150023,5,4.0,2700414,10,0,1
62,5,245132,26,2.1,1225660,10,1,1
24,8,201528,167,2.7,1612224,3,1,1
62,14,462673,20,1.5,6477422,10,0,1
62,7,471834,89,4.0,3302838,12,0,1
63,19,477991,176,1.5,9081829,15,1,1
60,17,297845,13,3.7,5063365,3,1,1
49,5,343398,32,2.4,1716990,11,0,0
56,19,444671,86,3.4,8448749,9,1,1
36,3,215354,130,1.6,646062,15,1,0
28,7,392377,40,1.4,2746639,9,0,0
37,17,133999,15,3.0,2277983,9,0,1
35,18,474256,63,4.2,8536608,3,1,1
18,16,164101,32,4.6,2625616,8,1,1
55,11,441700,28,4.7,4858700,6,1,1
41,3,97184,48,2.9,291552,3,0,0
47,19,166694,138,4.1,3167186,11,0,1
36,14,374983,129,3.4,5249762,2,1,1
68,16,497064,63,4.2,7953024,7,0,1
52,15,28876,29,1.0,433140,15,0,1
28,18,108071,131,3.4,1945278,2,0,0
52,10,76449,50,1.7,764490,11,1,1
35,20,384631,161,4.7,7692620,1,1,1
43,14,161479,89,3.0,2260706,8,1,1
34,1,122559,61,3.2,122559,10,0,0
53,2,129938,122,2.9,259876,1,1,0
51,8,485108,62,1.6,3880864,14,0,0
27,19,43443,70,4.9,825417,15,1,1
18,13,193613,51,2.9,2516969,4,0,0
24,13,210216,42,3.6,2732808,9,1,1
24,17,497947,83,4.5,8465099,2,0,1
67,9,165047,7,1.1,1485423,11,0,1
49,12,478638,107,2.2,5743656,9,1,1
36,18,210903,110,4.1,3796254,2,1,1
33,1,412403,22,3.6,412403,6,0,0
45,7,417981,47,2.1,2925867,2,0,0
18,3,17574,35,4.0,52722,8,1,0
51,6,279257,119,2.7,1675542,11,0,0
40,7,196207,74,4.0,1373449,5,0,1
68,19,124750,33,4.6,2370250,14,1,1
23,5,133705,79,4.1,668525,13,0,0
21,14,194905,62,4.7,2728670,1,1,1
54,17,475296,153,4.5,8080032,1,0,1
41,20,59583,160,3.5,1191660,14,0,0
43,15,280650,42,1.5,4209750,7,1,1
40,13,39050,140,4.4,507650,5,0,1
32,20,142905,22,3.3,2858100,14,1,1
62,1,299191,4,3.0,299191,9,1,0
61,6,217073,6,4.2,1302438,10,0,1
63,9,349684,111,2.6,3147156,5,0,0
67,2,207537,104,3.0,415074,10,0,0
54,10,449058,154,2.3,4490580,11,0,0
38,12,231959,146,2.3,2783508,11,0,0
69,9,461163,108,2.4,4150467,14,1,1
62,13,140544,29,1.2,1827072,6,0,1
35,19,441785,12,4.8,8393915,12,0,1
37,8,439926,153,4.7,3519408,4,1,1
50,20,57913,20,3.7,1158260,11,1,1
61,14,95369,98,1.4,1335166,2,1,1
43,17,304576,49,2.7,5177792,15,1,1
68,14,108464,116,2.7,1518496,12,1,1
39,19,397744,165,2.1,7557136,4,0,0
61,4,484005,62,4.9,1936020,10,0,0
57,8,429481,47,2.1,3435848,10,1,1
68,1,318686,29,4.5,318686,7,0,1
51,3,491638,173,2.4,1474914,12,1,0
45,8,72968,78,3.7,583744,12,1,1
33,11,472131,176,3.2,5193441,13,1,1
37,8,227433,128,4.3,1819464,15,0,1
49,4,149683,30,1.6,598732,15,0,0
20,12,18613,30,3.4,223356,10,1,0
28,8,158450,76,1.2,1267600,13,0,0
52,13,448902,82,1.7,5835726,9,1,1
40,20,317778,82,3.7,6355560,11,1,1
39,13,233091,25,1.8,3030183,11,0,1
22,18,434517,57,2.1,7821306,10,1,1
64,11,89330,105,4.3,982630,2,1,1
65,11,115350,38,3.2,1268850,5,1,1
67,18,278663,84,2.2,5015934,6,1,1
55,17,365313,119,3.0,6210321,3,0,0
63,11,127365,26,4.7,1401015,5,0,1
43,12,193700,123,4.8,2324400,1,0,1
51,11,45231,65,4.0,497541,14,0,1
41,6,115617,50,4.5,693702,12,1,1
37,1,81297,62,2.1,81297,15,1,0
35,17,438749,43,1.6,7458733,15,1,1
50,7,362249,168,3.0,2535743,2,1,1
26,10,180840,137,4.5,1808400,10,1,1
21,10,150493,71,3.2,1504930,1,1,1
68,12,304765,165,3.2,3657180,15,1,1
22,4,390408,109,2.8,1561632,2,0,0
68,19,361793,160,4.6,6874067,14,1,1
64,2,60379,115,3.1,120758,14,1,0
27,19,310739,87,4.6,5904041,3,1,1
44,4,396341,178,1.1,1585364,3,1,0
53,5,364425,164,2.6,1822125,8,0,0
66,6,487732,24,4.2,2926392,1,0,1
38,16,444750,21,4.9,7116000,2,1,1
64,4,329776,166,5.0,1319104,13,1,1
69,19,63918,131,1.8,1214442,5,0,0
54,3,165048,175,2.9,495144,5,1,0
69,6,169959,150,1.6,1019754,10,1,1
49,3,319026,35,1.1,957078,13,0,0
50,10,388592,54,3.1,3885920,11,1,1
69,11,335639,78,1.4,3692029,5,0,0
38,10,472268,157,2.2,4722680,4,1,1
56,17,10264,21,2.1,174488,10,1,1
27,9,437363,21,3.8,3936267,11,1,1
43,11,57408,131,2.7,631488,6,0,0
47,15,390442,86,4.0,5856630,1,1,1
67,3,154717,79,2.4,464151,4,1,0
52,6,328001,137,2.9,1968006,5,0,0
57,2,143986,169,3.0,287972,15,1,0
56,1,83660,57,4.8,83660,3,1,0
43,2,87819,121,1.5,175638,4,1,0
42,7,249417,22,3.7,1745919,4,1,1
52,19,462259,148,2.1,8782921,12,0,0
58,6,56244,180,2.3,337464,9,1,1
31,9,99696,116,4.7,897264,13,1,1
59,14,155334,28,4.7,2174676,9,1,1
56,8,381077,44,1.9,3048616,11,0,0
24,12,148778,47,1.4,1785336,14,0,0
45,16,107768,151,4.2,1724288,12,0,1
22,6,344147,167,4.4,2064882,7,1,1
58,11,368230,50,1.1,4050530,2,1,1
38,8,27020,166,1.6,216160,9,1,0
69,1,32906,10,2.5,32906,4,0,0
60,20,81947,130,4.5,1638940,15,1,1
56,10,53901,14,2.5,539010,8,0,1
20,9,38737,175,3.6,348633,11,0,0
48,16,177570,151,4.5,2841120,5,0,1
68,3,38249,163,2.3,114747,2,0,0
45,8,109607,77,4.4,876856,8,1,1
32,15,181952,129,4.4,2729280,3,0,1
20,1,246942,114,1.9,246942,11,0,0
45,6,212391,84,1.4,1274346,12,1,1
58,15,301122,45,4.1,4516830,10,0,1
69,4,411890,140,3.7,1647560,3,0,0
52,7,213484,63,4.0,1494388,6,1,1
50,2,145054,95,2.9,290108,15,0,0
39,1,206768,168,2.3,206768,13,0,0
39,3,164730,105,2.0,494190,1,1,0
26,1,464395,1,4.7,464395,6,0,1
62,17,426875,58,2.4,7256875,15,0,0
59,17,268163,125,4.0,4558771,12,0,1
65,16,434231,109,2.5,6947696,2,0,0
31,14,468967,144,4.4,6565538,2,0,1
54,8,484924,98,2.6,3879392,8,1,1
65,16,161011,83,2.7,2576176,15,0,0
56,20,55977,41,4.7,1119540,3,1,1
66,4,342818,142,4.9,1371272,6,0,0
21,20,221263,168,1.5,4425260,1,0,0
64,17,348292,20,2.6,5920964,8,0,1
54,13,269660,157,2.4,3505580,14,0,0
23,17,486589,73,2.3,8272013,3,0,0
29,7,269791,134,2.6,1888537,8,1,1
60,15,22812,116,2.8,342180,14,1,1
45,9,109844,36,2.0,988596,14,0,0
27,2,29590,51,3.4,59180,3,0,0
68,12,5106,76,1.1,61272,10,1,0
49,19,493878,58,3.7,9383682,13,0,0
62,9,12064,24,1.1,108576,6,0,0
19,8,196147,170,2.7,1569176,12,0,0
27,4,194091,23,2.7,776364,9,1,1
28,3,22408,84,4.7,67224,13,0,0
37,13,113861,98,4.4,1480193,7,0,1
33,12,327500,47,3.3,3930000,13,1,1
34,19,34846,105,4.9,662074,6,1,1
20,14,442395,169,3.1,6193530,1,1,1
57,19,225115,34,2.4,4277185,10,0,0
38,12,453458,102,3.3,5441496,12,1,1
32,17,446326,168,2.8,7587542,11,0,0
69,10,345202,27,3.1,3452020,11,0,1
34,8,193693,118,4.7,1549544,10,0,1
61,13,192212,88,4.5,2498756,5,0,1
21,20,29386,129,4.0,587720,3,0,1
35,10,140768,98,2.0,1407680,7,1,1
47,3,451709,34,3.4,1355127,15,1,0
40,12,233932,26,3.7,2807184,7,0,1
54,2,269566,133,3.5,539132,8,0,0
49,3,131804,113,4.6,395412,9,0,0
30,6,251955,158,2.0,1511730,8,1,1
50,1,58526,54,4.4,58526,7,1,0
18,20,481404,91,3.1,9628080,13,0,0
21,19,366894,2,1.1,6970986,6,1,1
61,14,305709,16,1.9,4279926,7,0,1
39,10,309491,129,2.1,3094910,3,1,1
36,2,384569,89,1.2,769138,15,1,0
67,16,301392,160,2.2,4822272,5,1,1
27,13,51373,114,3.6,667849,15,1,1
54,19,195362,173,4.4,3711878,14,0,1
43,20,184761,141,2.0,3695220,3,0,0
65,2,313067,29,4.9,626134,12,1,1
58,4,239571,135,4.4,958284,7,1,1
69,5,35407,176,4.8,177035,7,0,0
45,6,452615,60,4.4,2715690,11,0,1
65,7,134285,4,2.0,939995,10,1,1
24,8,243925,109,3.1,1951400,4,1,1
49,6,334317,19,1.0,2005902,11,0,1
70,1,483883,173,2.3,483883,7,0,0
53,16,48826,51,4.1,781216,10,0,1
60,8,84290,20,3.1,674320,11,1,1
43,18,414572,95,2.1,7462296,6,1,1
36,18,418487,176,3.2,7532766,14,1,1
38,12,214195,3,4.2,2570340,3,1,1
28,10,192769,150,2.9,1927690,2,1,1
66,3,195840,78,4.9,587520,2,1,1
66,13,110926,8,4.2,1442038,11,0,1
66,2,83639,137,1.3,167278,14,0,0
23,19,195144,52,3.2,3707736,3,1,1
18,10,451258,2,2.4,4512580,8,0,1
68,8,493591,131,2.2,3948728,6,1,1
44,19,361526,11,2.5,6868994,13,1,1
21,15,327031,22,3.5,4905465,2,1,1
23,2,176728,166,1.6,353456,1,1,0
45,12,491236,97,4.7,5894832,6,0,1
34,20,189712,3,2.8,3794240,4,0,1
22,4,227252,28,5.0,909008,4,0,1
49,4,248825,7,1.8,995300,4,0,0
30,2,345607,86,2.6,691214,15,1,0
41,10,16210,89,1.1,162100,14,0,0
52,8,277360,78,4.2,2218880,5,1,1
44,7,237718,25,1.7,1664026,11,0,1
39,12,362323,41,1.3,4347876,7,0,0
50,7,87976,146,3.4,615832,9,1,1
47,6,140489,144,2.3,842934,5,1,1
60,19,329310,64,4.0,6256890,13,1,1
36,4,18697,142,4.9,74788,11,1,0
68,4,141018,162,2.4,564072,7,0,0
63,12,373924,37,4.6,4487088,5,1,1
37,14,459672,48,2.0,6435408,6,1,1
41,14,434392,144,1.2,6081488,7,1,1
58,16,24042,112,1.1,384672,7,1,1
52,10,39614,32,2.3,396140,15,1,1
70,16,230695,142,4.4,3691120,14,1,1
61,11,176801,116,2.7,1944811,12,0,0
43,7,86659,41,3.1,606613,11,1,1
21,10,430301,173,3.5,4303010,10,1,1
40,11,120670,48,1.2,1327370,13,1,1
28,16,200071,1,1.0,3201136,12,0,1
40,3,137648,120,3.8,412944,10,0,0
47,17,477613,178,2.6,8119421,3,1,1
58,6,74477,21,1.0,446862,10,0,1
36,18,170522,14,3.9,3069396,8,1,1
20,4,170025,63,4.5,680100,7,1,1
27,12,257707,50,2.7,3092484,2,0,0
45,4,245176,32,4.6,980704,6,1,1
44,11,163489,39,1.5,1798379,14,0,0
21,18,258548,144,4.9,4653864,8,1,1
68,13,169821,68,2.7,2207673,5,0,0
18,1,496024,88,2.7,496024,14,1,0
45,2,422307,87,1.2,844614,11,1,0
60,3,108149,123,3.7,324447,6,1,0
55,13,382931,42,1.8,4978103,6,0,0
39,11,220263,84,3.4,2422893,13,1,1
70,12,277081,40,2.3,3324972,7,0,0
43,4,230147,112,1.8,920588,3,0,0
67,3,284684,137,3.6,854052,8,1,0
59,1,41763,129,1.3,41763,4,1,0
33,10,86950,119,1.7,869500,14,1,1
51,5,112704,79,2.4,563520,11,1,0
46,7,93242,93,4.5,652694,11,1,1
34,20,306638,152,4.6,6132760,15,1,1
29,5,170378,156,1.4,851890,7,0,0
49,12,495106,121,3.4,5941272,15,1,1
30,19,106850,103,2.3,2030150,14,1,1
54,6,491956,149,3.8,2951736,15,0,0
38,18,398130,94,1.7,7166340,13,1,1
68,11,253097,91,1.8,2784067,11,0,0
19,17,423161,179,4.4,7193737,7,1,1
46,17,193994,115,2.3,3297898,13,1,1
68,8,88057,39,4.9,704456,14,1,1
55,5,53839,177,2.6,269195,10,1,0
46,19,51924,3,4.8,986556,12,1,1
26,10,379397,134,3.7,3793970,6,0,0
41,19,321745,137,2.3,6113155,3,0,0
61,13,79293,132,3.7,1030809,14,0,0
68,8,438669,75,2.3,3509352,6,1,1
23,9,332031,34,3.2,2988279,1,1,1
28,15,172233,78,3.2,2583495,9,1,1
49,9,110920,69,2.7,998280,6,1,1
42,9,340503,42,4.4,3064527,8,1,1
62,3,141990,132,3.1,425970,1,0,0
65,18,75121,137,1.7,1352178,9,0,0
30,15,203364,25,4.6,3050460,14,1,1
51,1,278704,141,1.6,278704,13,1,0
69,18,145721,17,1.5,2622978,12,0,1
24,10,313582,95,2.2,3135820,1,1,1
56,15,421487,96,4.9,6322305,15,1,1
66,19,137541,141,3.1,2613279,7,0,0
57,4,343222,65,2.8,1372888,1,1,0
20,14,259643,62,1.8,3635002,10,1,1
57,11,207314,4,3.5,2280454,12,1,1
69,16,136696,133,4.9,2187136,11,0,1
55,17,6301,77,1.8,107117,1,0,0
27,16,431335,61,2.2,6901360,12,1,1
55,11,200477,68,3.9,2205247,11,1,1
61,19,146266,113,3.0,2779054,15,1,1
67,14,255818,110,3.2,3581452,6,0,0
29,18,435215,21,4.5,7833870,8,0,1
60,13,161776,126,3.2,2103088,14,1,1
64,10,239406,154,3.2,2394060,4,0,0
62,8,154681,4,1.1,1237448,7,1,1
50,15,302584,17,3.8,4538760,15,1,1
61,17,126567,45,1.1,2151639,8,1,1
50,15,304789,112,4.0,4571835,1,0,1
64,13,446362,50,1.3,5802706,9,0,0
44,10,153377,92,3.0,1533770,12,1,1
70,7,328254,164,4.3,2297778,3,0,1
31,11,370945,105,1.7,4080395,11,1,1
33,20,151349,77,4.7,3026980,6,0,1
51,8,451063,164,2.2,3608504,12,1,1
42,16,449618,17,4.2,7193888,1,0,1
61,9,367791,33,1.3,3310119,7,1,1
22,15,391121,69,2.3,5866815,4,1,1
28,20,318081,70,1.7,6361620,11,0,0
39,10,196793,81,4.0,1967930,9,1,1
69,13,218672,26,1.5,2842736,15,0,1
66,4,146298,174,3.1,585192,1,0,0
18,15,271611,100,3.6,4074165,10,0,0
27,1,388085,170,3.0,388085,11,0,0
45,12,18306,131,4.3,219672,7,0,0
33,20,74940,149,3.5,1498800,4,1,1
32,14,170204,85,1.9,2382856,2,0,0
24,11,111871,80,3.5,1230581,3,1,1
57,8,472413,147,1.2,3779304,15,1,1
54,12,418527,169,3.6,5022324,15,0,0
41,3,118830,164,1.5,356490,10,1,0
51,17,97812,59,1.1,1662804,13,1,1
24,4,211103,49,1.5,844412,7,1,0
24,18,476568,30,2.4,8578224,7,1,1
56,15,65487,14,4.7,982305,2,1,1
47,2,272226,48,4.7,544452,8,0,0
62,1,29383,77,1.7,29383,10,0,0
29,11,474587,27,2.3,5220457,14,1,1
47,2,60877,67,1.9,121754,9,1,0
30,1,279964,122,4.7,279964,12,0,0
57,1,92395,28,2.9,92395,4,0,0
48,20,219064,33,2.5,4381280,6,1,1
58,18,430521,72,1.5,7749378,3,0,0
41,10,412278,94,1.7,4122780,13,0,0
54,2,458953,49,2.2,917906,15,1,0
51,12,216505,55,3.7,2598060,7,0,0
41,16,459838,164,3.7,7357408,13,0,0
18,16,192792,123,3.8,3084672,13,0,0
68,19,47671,112,1.2,905749,15,1,1
27,3,58039,118,3.3,174117,5,1,0
38,6,288766,126,3.1,1732596,14,0,0
20,10,426799,32,4.9,4267990,1,1,1
66,18,433344,157,1.3,7800192,4,0,0
37,3,348088,135,4.3,1044264,9,1,1
55,18,447681,115,1.0,8058258,13,1,1
58,10,453729,130,1.4,4537290,9,1,1
62,10,438146,175,4.6,4381460,3,0,1
62,13,288888,47,3.2,3755544,10,0,0
68,5,288511,145,2.1,1442555,1,0,0
30,13,161294,122,3.1,2096822,8,1,1
18,12,429748,107,4.0,5156976,9,1,1
31,15,291402,158,2.7,4371030,5,0,0
65,18,216873,101,2.8,3903714,4,1,1
35,1,60023,130,3.5,60023,6,1,0
55,11,248307,142,4.9,2731377,3,0,1
25,1,98143,154,3.6,98143,9,0,0
67,14,91780,78,3.7,1284920,3,0,0
41,18,247614,168,3.0,4457052,10,1,1
47,19,468111,107,1.9,8894109,11,1,1
27,7,69332,115,2.6,485324,9,1,1
24,17,359861,25,5.0,6117637,11,0,1
25,9,216413,72,2.4,1947717,4,1,1
41,18,364699,3,4.1,6564582,4,0,1
57,9,198017,21,2.1,1782153,3,1,1
38,1,423299,28,4.7,423299,9,0,1
33,2,421070,179,4.1,842140,12,1,1
51,5,480244,32,4.4,2401220,6,0,0
70,6,220590,165,3.6,1323540,9,1,1
30,1,286005,29,1.6,286005,13,1,0
68,10,96839,47,4.3,968390,11,0,1
25,11,45503,79,3.1,500533,3,0,0
25,20,116051,136,2.7,2321020,5,0,0
28,1,418515,94,1.1,418515,7,1,0
36,14,257166,4,1.8,3600324,8,0,1
69,12,341083,78,4.8,4092996,4,1,1
41,4,439072,93,4.3,1756288,15,0,0
66,1,265930,110,2.5,265930,14,0,0
66,20,280088,173,3.8,5601760,3,0,0
22,3,248930,142,1.6,746790,11,0,0
26,8,224157,15,2.6,1793256,9,0,1
21,12,362705,104,2.2,4352460,8,0,0
55,2,458904,58,2.6,917808,6,0,0
64,17,499326,22,3.1,8488542,11,0,1
21,3,407637,112,4.1,1222911,15,1,1
49,15,270977,157,1.6,4064655,1,1,1
19,6,45404,147,3.3,272424,9,0,0
23,6,95699,69,2.3,574194,8,1,1
50,5,151119,16,2.0,755595,3,1,1
68,12,287026,20,4.2,3444312,14,0,1
36,10,253384,47,3.7,2533840,2,1,1
28,17,198980,132,4.3,3382660,1,0,1
31,15,470608,87,2.0,7059120,7,0,0
27,15,322455,112,2.9,4836825,11,0,0
70,9,409076,8,2.2,3681684,12,1,1
58,17,165489,98,3.0,2813313,1,1,1
31,17,248717,167,1.2,4228189,13,1,1
48,20,487299,166,4.6,9745980,2,0,1
40,12,324589,180,2.4,3895068,8,0,0
30,6,22668,6,4.3,136008,12,0,1
67,2,441590,174,3.0,883180,2,0,0
50,18,260579,70,3.6,4690422,9,0,0
52,2,158592,121,2.1,317184,10,0,0
23,20,50076,65,4.7,1001520,5,0,1
18,15,275052,94,1.8,4125780,10,1,1
63,20,229833,34,4.4,4596660,5,1,1
42,18,109574,17,1.6,1972332,6,0,1
61,4,238890,59,4.8,955560,10,0,0
51,17,122394,62,1.5,2080698,9,0,0
48,12,86687,12,4.9,1040244,8,0,1
44,6,382724,28,4.8,2296344,4,1,1
41,10,340834,96,3.3,3408340,13,0,0
40,11,380777,63,2.6,4188547,13,1,1
37,13,38228,112,1.8,496964,7,1,1
31,12,280793,1,1.6,3369516,7,1,1
20,1,269751,35,2.6,269751,4,0,0
33,5,244815,90,2.5,1224075,15,1,0
62,19,283661,36,3.1,5389559,6,1,1
